Timestamp,UTC,Callsign,Position
1531255296,2018-07-10T20:41:36Z,KNE434,"21.417984,39.273376"
1531255304,2018-07-10T20:41:44Z,KNE434,"21.4254,39.268681"
1531255313,2018-07-10T20:41:53Z,KNE434,"21.432138,39.264374"
1531255323,2018-07-10T20:42:03Z,KNE434,"21.439493,39.259644"
1531255336,2018-07-10T20:42:16Z,KNE434,"21.448618,39.253742"
1531255345,2018-07-10T20:42:25Z,KNE434,"21.454971,39.249557"
1531255351,2018-07-10T20:42:31Z,KNE434,"21.458906,39.246777"
1531255368,2018-07-10T20:42:48Z,KNE434,"21.472033,39.239605"
1531255375,2018-07-10T20:42:55Z,KNE434,"21.476456,39.237671"
1531255386,2018-07-10T20:43:06Z,KNE434,"21.485394,39.234161"
1531255395,2018-07-10T20:43:15Z,KNE434,"21.492737,39.231327"
1531255405,2018-07-10T20:43:25Z,KNE434,"21.499498,39.228619"
1531255412,2018-07-10T20:43:32Z,KNE434,"21.504015,39.226887"
1531255418,2018-07-10T20:43:38Z,KNE434,"21.50853,39.225056"
1531255428,2018-07-10T20:43:48Z,KNE434,"21.517794,39.221447"
1531255436,2018-07-10T20:43:56Z,KNE434,"21.522495,39.219563"
1531255442,2018-07-10T20:44:02Z,KNE434,"21.526918,39.217834"
1531255449,2018-07-10T20:44:09Z,KNE434,"21.531418,39.216049"
1531255461,2018-07-10T20:44:21Z,KNE434,"21.53986,39.212696"
1531255467,2018-07-10T20:44:27Z,KNE434,"21.544376,39.210968"
1531255473,2018-07-10T20:44:33Z,KNE434,"21.548613,39.20929"
1531255479,2018-07-10T20:44:39Z,KNE434,"21.55481,39.20681"
1531255489,2018-07-10T20:44:49Z,KNE434,"21.559158,39.205112"
1531255498,2018-07-10T20:44:58Z,KNE434,"21.565384,39.202663"
1531255510,2018-07-10T20:45:10Z,KNE434,"21.573191,39.199574"
1531255648,2018-07-10T20:47:28Z,KNE434,"21.657486,39.166359"
1531255654,2018-07-10T20:47:34Z,KNE434,"21.66124,39.16486"
1531255661,2018-07-10T20:47:41Z,KNE434,"21.664993,39.163414"
1531255671,2018-07-10T20:47:51Z,KNE434,"21.672033,39.160625"
1531255678,2018-07-10T20:47:58Z,KNE434,"21.675001,39.15947"
1531255691,2018-07-10T20:48:11Z,KNE434,"21.679005,39.157856"
1531255697,2018-07-10T20:48:17Z,KNE434,"21.680866,39.156952"
1531255720,2018-07-10T20:48:40Z,KNE434,"21.682835,39.154812"
1531255730,2018-07-10T20:48:50Z,KNE434,"21.683159,39.154408"
1531255741,2018-07-10T20:49:01Z,KNE434,"21.683369,39.154003"
1531255768,2018-07-10T20:49:28Z,KNE434,"21.682743,39.151642"
1531255779,2018-07-10T20:49:39Z,KNE434,"21.682331,39.150455"
1531255787,2018-07-10T20:49:47Z,KNE434,"21.681999,39.149445"
1531255794,2018-07-10T20:49:54Z,KNE434,"21.681541,39.148144"
1531255800,2018-07-10T20:50:00Z,KNE434,"21.681332,39.147541"
1531255811,2018-07-10T20:50:11Z,KNE434,"21.680809,39.146015"
1531255831,2018-07-10T20:50:31Z,KNE434,"21.67997,39.143562"
1531255838,2018-07-10T20:50:38Z,KNE434,"21.679756,39.143051"
1531255844,2018-07-10T20:50:44Z,KNE434,"21.679342,39.142864"
1531255858,2018-07-10T20:50:58Z,KNE434,"21.678516,39.143192"
1531255873,2018-07-10T20:51:13Z,KNE434,"21.677353,39.14365"
1531255881,2018-07-10T20:51:21Z,KNE434,"21.676678,39.143917"
1531255891,2018-07-10T20:51:31Z,KNE434,"21.675465,39.144398"
1531255901,2018-07-10T20:51:41Z,KNE434,"21.674618,39.144737"
1531255908,2018-07-10T20:51:48Z,KNE434,"21.674128,39.144974"
1531255917,2018-07-10T20:51:57Z,KNE434,"21.673838,39.145596"
1531255970,2018-07-10T20:52:50Z,KNE434,"21.673651,39.146145"
1531256099,2018-07-10T20:54:59Z,KNE434,"21.673668,39.146133"
1531256292,2018-07-10T20:58:12Z,KNE434,"21.673679,39.146133"
1531341273,2018-07-11T20:34:33Z,KNE434,"18.243996,42.645004"
1531341290,2018-07-11T20:34:50Z,KNE434,"18.244183,42.645309"
1531341350,2018-07-11T20:35:50Z,KNE434,"18.246872,42.644829"
1531341380,2018-07-11T20:36:20Z,KNE434,"18.247976,42.643818"
1531341386,2018-07-11T20:36:26Z,KNE434,"18.248302,42.643776"
1531341399,2018-07-11T20:36:39Z,KNE434,"18.248932,42.643745"
1531341407,2018-07-11T20:36:47Z,KNE434,"18.249165,42.643871"
1531341424,2018-07-11T20:37:04Z,KNE434,"18.24979,42.644302"
1531341435,2018-07-11T20:37:15Z,KNE434,"18.249596,42.644695"
1531341447,2018-07-11T20:37:27Z,KNE434,"18.249035,42.645454"
1531341460,2018-07-11T20:37:40Z,KNE434,"18.246357,42.648949"
1531341474,2018-07-11T20:37:54Z,KNE434,"18.240784,42.656036"
1531341490,2018-07-11T20:38:10Z,KNE434,"18.233068,42.666153"
1531341502,2018-07-11T20:38:22Z,KNE434,"18.226597,42.674244"
1531341510,2018-07-11T20:38:30Z,KNE434,"18.222427,42.677914"
1531341517,2018-07-11T20:38:37Z,KNE434,"18.21492,42.680462"
1531341527,2018-07-11T20:38:47Z,KNE434,"18.206635,42.679974"
1531341534,2018-07-11T20:38:54Z,KNE434,"18.201832,42.67794"
1531341542,2018-07-11T20:39:02Z,KNE434,"18.195408,42.672745"
1531341549,2018-07-11T20:39:09Z,KNE434,"18.192032,42.667858"
1531341555,2018-07-11T20:39:15Z,KNE434,"18.190474,42.66246"
1531341561,2018-07-11T20:39:21Z,KNE434,"18.190338,42.656971"
1531341567,2018-07-11T20:39:27Z,KNE434,"18.192242,42.650822"
1531341575,2018-07-11T20:39:35Z,KNE434,"18.197617,42.643627"
1531341582,2018-07-11T20:39:42Z,KNE434,"18.201096,42.639164"
1531341590,2018-07-11T20:39:50Z,KNE434,"18.204895,42.634262"
1531341606,2018-07-11T20:40:06Z,KNE434,"18.215332,42.619892"
1531341622,2018-07-11T20:40:22Z,KNE434,"18.225037,42.607334"
1531341635,2018-07-11T20:40:35Z,KNE434,"18.23204,42.597672"
1531341651,2018-07-11T20:40:51Z,KNE434,"18.241745,42.584724"
1531341661,2018-07-11T20:41:01Z,KNE434,"18.249435,42.574425"
1531341676,2018-07-11T20:41:16Z,KNE434,"18.257229,42.56403"
1531341686,2018-07-11T20:41:26Z,KNE434,"18.265045,42.553726"
1531341698,2018-07-11T20:41:38Z,KNE434,"18.272781,42.543331"
1531341729,2018-07-11T20:42:09Z,KNE434,"18.29361,42.516304"
1531341761,2018-07-11T20:42:41Z,KNE434,"18.317049,42.485477"
1531341794,2018-07-11T20:43:14Z,KNE434,"18.345566,42.447933"
1531341826,2018-07-11T20:43:46Z,KNE434,"18.374359,42.409824"
1531341857,2018-07-11T20:44:17Z,KNE434,"18.404984,42.369019"
1531341890,2018-07-11T20:44:50Z,KNE434,"18.438538,42.324142"
1531341923,2018-07-11T20:45:23Z,KNE434,"18.469694,42.282833"
1531341955,2018-07-11T20:45:55Z,KNE434,"18.504793,42.23629"
1531342017,2018-07-11T20:46:57Z,KNE434,"18.569733,42.149685"
1531342079,2018-07-11T20:47:59Z,KNE434,"18.63607,42.061356"
1531342141,2018-07-11T20:49:01Z,KNE434,"18.702641,41.972767"
1531342204,2018-07-11T20:50:04Z,KNE434,"18.773773,41.877735"
1531342266,2018-07-11T20:51:06Z,KNE434,"18.846022,41.780907"
